latitude,longitude,brightness,scan,track,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-32.56501,-60.628838,304.26,0.4,0.37,506,N,VIIRS,n,1,289.24,0.65,N,0.0
-32.571178,-60.63448,314.92,0.4,0.37,506,N,VIIRS,n,1,290.64,6.41,N,0.0
-32.57457,-60.635162,346.19,0.4,0.37,506,N,VIIRS,n,1,293.79,6.41,N,0.0
-32.777683,-60.239311,302.99,0.41,0.37,506,N,VIIRS,n,1,289.31,0.68,N,0.0
-32.781113,-60.239986,301.0,0.41,0.37,506,N,VIIRS,n,1,289.25,0.68,N,0.0
-32.779922,-60.237228,307.97,0.41,0.37,506,N,VIIRS,n,1,290.14,1.34,N,0.0
-32.792648,-60.221729,299.78,0.41,0.37,506,N,VIIRS,n,1,288.8,0.68,N,0.0
-32.841198,-60.177128,345.07,0.41,0.37,506,N,VIIRS,n,1,293.79,3.15,N,3.0
-32.840584,-60.181526,300.71,0.41,0.37,506,N,VIIRS,n,1,288.82,3.15,N,3.0
-32.844635,-60.177807,335.88,0.41,0.37,506,N,VIIRS,n,1,292.13,3.88,N,0.0
-32.845253,-60.173401,322.49,0.41,0.37,506,N,VIIRS,n,1,291.85,4.19,N,0.0
-32.845867,-60.169003,336.57,0.41,0.37,506,N,VIIRS,n,1,293.92,4.19,N,0.0
-32.846481,-60.164597,342.25,0.41,0.37,506,N,VIIRS,n,1,293.5,3.11,N,0.0
-32.847095,-60.160183,309.49,0.41,0.37,506,N,VIIRS,n,1,289.15,3.11,N,0.0
-32.874218,-60.486488,329.59,0.4,0.37,506,N,VIIRS,n,1,290.03,3.03,N,3.0
-32.874828,-60.482159,315.65,0.4,0.37,506,N,VIIRS,n,1,288.5,1.73,N,3.0
-33.024998,-60.429375,321.49,0.4,0.37,506,N,VIIRS,n,1,289.76,1.63,N,3.0
-33.028416,-60.430058,308.38,0.4,0.37,506,N,VIIRS,n,1,289.35,1.63,N,3.0
-33.022575,-60.49602900000001,313.94,0.4,0.37,506,N,VIIRS,n,1,292.64,1.93,N,0.0
-33.025986,-60.49671899999999,312.68,0.4,0.37,506,N,VIIRS,n,1,291.95,1.93,N,0.0
-33.147839000000005,-60.272335,304.5,0.41,0.37,506,N,VIIRS,n,1,289.31,0.94,N,0.0
-33.151276,-60.27301,308.83,0.41,0.37,506,N,VIIRS,n,1,288.92,0.94,N,0.0
-33.238884000000006,-60.288139,307.59,0.41,0.37,506,N,VIIRS,n,1,291.72,1.28,N,3.0
-33.239502,-60.283714,314.93,0.41,0.37,506,N,VIIRS,n,1,288.53,1.28,N,3.0
-33.24197,-60.283585,347.41,0.46,0.39,1730,N,VIIRS,n,1,303.96,8.42,D,3.0
-33.229816,-60.275436,335.19,0.46,0.39,1730,N,VIIRS,n,1,304.56,3.04,D,0.0
-33.230625,-60.277142000000005,333.44,0.46,0.39,1730,N,VIIRS,n,1,302.31,2.87,D,0.0
-33.034157,-60.431641000000006,355.54,0.47,0.39,1730,N,VIIRS,n,1,306.65,12.49,D,0.0
-33.030495,-60.432259,352.22,0.47,0.39,1730,N,VIIRS,n,1,304.59,12.49,D,0.0
-33.031234999999995,-60.42966800000001,340.67,0.46,0.39,1730,N,VIIRS,n,1,306.08,10.44,D,3.0
-33.031859999999995,-60.434704,335.1,0.46,0.39,1730,N,VIIRS,n,1,302.76,10.44,D,3.0
-33.024658,-60.49791,339.11,0.47,0.4,1730,N,VIIRS,n,1,308.41,6.93,D,3.0
-33.020985,-60.498524,341.61,0.47,0.4,1730,N,VIIRS,n,1,307.42,6.93,D,3.0
-33.017925,-60.504227,346.21,0.47,0.4,1730,N,VIIRS,n,1,302.8,3.98,D,0.0
-32.84132,-60.180912,356.95,0.45,0.39,1730,N,VIIRS,n,1,305.25,10.95,D,3.0
-32.874859,-60.484753000000005,350.37,0.47,0.39,1730,N,VIIRS,n,1,306.34,6.34,D,3.0
-32.871189,-60.485374,338.8,0.47,0.39,1730,N,VIIRS,n,1,302.99,4.29,D,0.0
-32.805706,-60.222153000000006,342.24,0.45,0.39,1730,N,VIIRS,n,1,306.6,7.49,D,0.0
-32.809177000000005,-60.34264,344.61,0.46,0.39,1730,N,VIIRS,n,1,306.62,6.27,D,0.0
-32.794369,-60.22099300000001,339.66,0.45,0.39,1730,N,VIIRS,n,1,305.98,5.64,D,0.0
-32.781723,-60.238216,340.8,0.45,0.39,1730,N,VIIRS,n,1,308.47,7.23,D,0.0
-32.804138,-60.50877,341.5,0.47,0.39,1730,N,VIIRS,n,1,308.63,9.9,D,0.0
-32.571667,-60.635914,341.65,0.47,0.4,1730,N,VIIRS,n,1,304.6,8.75,D,0.0
