latitude,longitude,confidence
25.40616,-100.51624,n
25.37574,-100.30731,n
25.37494,-100.3029,n
25.36467,-100.24643,n
25.41131,-100.50387,n
25.39583,-100.41816,n
25.37414,-100.29848,n
25.37331,-100.29396,n
25.40871,-100.50992,n
25.40699,-100.5004,n
25.39326,-100.42447,n
25.39239,-100.41962,n
25.39061,-100.40981,n
25.36808,-100.28571,n
25.36726,-100.28119,n
25.36294,-100.2575,n
25.40785,-100.50514,n
25.40614,-100.49567,n
25.3915,-100.41473,n
25.38971,-100.40479,n
25.37131,-100.30346,n
25.36205,-100.2526,n
25.36115,-100.24768,n
25.36026,-100.24277,n
25.407,-100.52087,n
25.40354,-100.50173,n
25.38806,-100.41616,n
25.38718,-100.41132,n
25.36374,-100.28238,n
25.36296,-100.27807,n
25.36211,-100.27346,n
25.35951,-100.25916,n
25.40531,-100.51155,n
25.38891,-100.42085,n
25.38625,-100.40623,n
25.3836,-100.3916,n
25.36454,-100.28674,n
25.36039,-100.26401,n
25.35677,-100.24415,n
25.36014,-100.28313,n
25.35935,-100.27877,n
25.35608,-100.26084,n
25.40522,-100.53146,n
25.40439,-100.52687,n
25.38362,-100.41213,n
25.35517,-100.25584,n
25.35423,-100.25074,n
25.35328,-100.24554,n
25.3516,-100.25683,n
25.34979,-100.24691,n
25.35251,-100.26177,n
25.35069,-100.25179,n
25.34794,-100.25726,n
25.34709,-100.25258,n
25.34626,-100.24805,n
25.36569,-100.39523,n
25.3629,-100.40031,n
25.36124,-100.39121,n
25.3596,-100.38223,n
25.35935,-100.40121,n
25.36018,-100.40575,n
25.3577,-100.39218,n
25.3317,-100.31111,n
25.33088,-100.30663,n
25.33687,-100.35941,n
25.33567,-100.37317,n
25.33491,-100.36897,n
25.33332,-100.36034,n
25.33248,-100.35575,n
25.31774,-100.27586,n
25.31673,-100.27047,n
25.33226,-100.37476,n
25.33144,-100.37029,n
25.32884,-100.3763,n
25.32791,-100.3713,n
25.33441,-100.37123,n
25.33517,-100.37548,n
25.33204,-100.35802,n
25.31781,-100.27826,n
25.31687,-100.27294,n
25.3159,-100.26744,n
25.33175,-100.3772,n
25.33094,-100.37269,n
25.33013,-100.36813,n
25.32741,-100.37367,n
25.32652,-100.36871,n
25.32829,-100.37862,n
25.32375,-100.37398,n
25.32286,-100.36894,n
25.15389,-99.54575,n
25.15015,-99.54661,n
25.093,-99.97343,n
25.09217,-99.96889,n
25.0894,-99.97456,n
25.08762,-99.96492,n
25.09014,-99.97855,n
25.08862,-99.97034,n
25.08653,-99.95902,n
25.08988,-99.99778,n
25.08743,-99.98452,n
25.083,-99.96052,n
25.07945,-99.96196,n
25.08818,-100.02973,n
25.08719,-100.02438,n
25.07585,-99.96307,n
25.08467,-100.03128,n
25.0837,-100.02602,n
25.07405,-99.97394,n
25.07313,-99.969,n
25.07219,-99.96393,n
25.07121,-99.95865,n
25.08116,-100.03278,n
25.06936,-99.96921,n
25.06844,-99.96427,n
25.08018,-100.02753,n
25.07028,-99.97417,n
25.07762,-100.03418,n
25.07665,-100.02898,n
25.07571,-100.0239,n
25.07311,-100.03033,n
25.074,-100.0351,n
25.06948,-100.03121,n
25.07033,-100.03581,n
25.06575,-100.03159,n
25.06479,-100.02647,n
25.06107,-100.02692,n
25.05737,-100.0275,n
25.05646,-100.0226,n
25.05181,-100.01811,n
25.05295,-100.01567,n
24.72936,-99.7742,n
24.72579,-99.77579,n
24.72057,-99.76858,n
24.71964,-99.7636,n
24.72291,-99.78113,n
24.72213,-99.77694,n
24.72139,-99.77296,n
24.71596,-99.76462,n
24.71485,-99.75866,n
24.72006,-99.78658,n
24.71768,-99.7738,n
24.7169,-99.76961,n
24.7187,-99.79995,n
24.71754,-99.7938,n
24.71226,-99.76552,n
24.71123,-99.76001,n
24.71317,-99.77039,n
24.71519,-99.80186,n
24.70938,-99.77082,n
24.71015,-99.77498,n
24.70852,-99.76625,n
24.70807,-99.78452,n
24.70713,-99.77951,n
24.71162,-99.80338,n
24.70915,-99.79028,n
24.70634,-99.7753,n
24.70789,-99.80412,n
24.70673,-99.79793,n
24.70546,-99.79124,n
25.09391,-99.97205,n
24.70526,-99.76637,n
24.70366,-99.77741,n
24.70196,-99.78893,n
24.70137,-99.79288,n
24.70078,-99.7968,n
24.70913,-99.76319,n
24.70857,-99.76698,n
24.70803,-99.77072,n
24.7075,-99.77439,n
24.70697,-99.77805,n
24.70642,-99.78181,n
24.70585,-99.78564,n
24.70526,-99.78957,n
24.70406,-99.79752,n
24.71248,-99.7597,n
24.71191,-99.76365,n
24.7108,-99.77122,n
24.70746,-99.79407,n
24.70688,-99.79806,n
24.70632,-99.80202,n
24.70575,-99.8059,n
24.7158,-99.76028,n
24.70963,-99.80267,n
24.70906,-99.80653,n
24.71912,-99.76087,n
24.71294,-99.80327,n
24.71684,-99.79979,n
24.71626,-99.80377,n
24.72074,-99.7963,n
24.72799,-99.76989,n
24.72687,-99.77763,n
24.72631,-99.78139,n
24.73076,-99.77423,n
24.73019,-99.77816,n
24.7341,-99.77469,n
24.73352,-99.77863,n
25.00086,-100.20981,n
25.0003,-100.21361,n
24.99973,-100.21744,n
25.00529,-100.20286,n
25.00417,-100.21041,n
25.0036,-100.21422,n
25.00246,-100.22186,n
25.00916,-100.19968,n
25.00859,-100.20348,n
25.00803,-100.20725,n
25.01189,-100.20411,n
25.01133,-100.20787,n
25.00907,-100.22303,n
25.0085,-100.22682,n
25.01519,-100.20471,n
25.01463,-100.20849,n
25.01407,-100.21225,n
25.0135,-100.21603,n
25.01294,-100.21982,n
25.01237,-100.2236,n
25.06796,-99.96352,n
25.0589,-100.02477,n
25.05833,-100.02859,n
25.07126,-99.9642,n
25.07069,-99.96802,n
25.07013,-99.97181,n
25.06164,-100.02924,n
25.07514,-99.96091,n
25.07343,-99.9725,n
25.06724,-100.01436,n
25.06494,-100.02989,n
25.07905,-99.95753,n
25.07054,-100.01501,n
25.06767,-100.03433,n
25.08237,-99.9581,n
25.07098,-100.03494,n
25.0857,-99.95866,n
25.07429,-100.03554,n
25.08902,-99.95921,n
25.09176,-99.96368,n
25.09116,-99.96765,n
25.08091,-100.03669,n
25.37494,-100.31167,n
25.38198,-100.33257,n
25.3768,-100.38645,n
25.38294,-100.36797,n
25.38237,-100.37177,n
25.38067,-100.38319,n
25.38624,-100.36852,n
25.38602,-100.4156,n
25.39046,-100.40851,n
25.38989,-100.41236,n
25.39592,-100.4173,n
25.39535,-100.42115,n
25.39478,-100.425,n
25.4076,-100.49747,n
25.40703,-100.50129,n
25.41033,-100.50187,n
25.40861,-100.51331,n
25.40803,-100.51713,n
25.40746,-100.52094,n
25.40573,-100.53237,n
25.41363,-100.50248,n
25.41306,-100.50627,n
25.41248,-100.51007,n
25.09337,-99.97578,n
25.08482,-100.03332,n
25.08991,-100.02213,n
25.08932,-100.02605,n
25.05679,-100.26665,n
25.32806,-100.3075,n
