latitude,longitude,brightness,scan,track,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
25.26064,-100.19558,327.55,0.32,0.55,746,1,VIIRS,n,2.0NRT,289.48,2.5,N
25.26553,-100.19373,318.93,0.32,0.55,746,1,VIIRS,n,2.0NRT,292.09,2.5,N
25.26681,-100.20691,299.01,0.32,0.55,746,1,VIIRS,n,2.0NRT,286.04,0.46,N
25.26574,-100.19597,342.4,0.32,0.55,746,1,VIIRS,n,2.0NRT,292.03,2.5,N
25.26828,-100.16979,334.9,0.32,0.54,746,1,VIIRS,n,2.0NRT,290.51,2.19,N
25.2732,-100.16822,317.09,0.32,0.54,746,1,VIIRS,n,2.0NRT,291.46,2.19,N
25.2735,-100.17139,308.52,0.32,0.54,746,1,VIIRS,n,2.0NRT,290.89,2.55,N
25.28192,-100.15379,299.87,0.64,0.54,746,1,VIIRS,n,2.0NRT,289.81,1.96,N
25.28837,-100.21977,319.46,0.32,0.55,746,1,VIIRS,n,2.0NRT,287.62,1.73,N
25.28776,-100.2135,325.0,0.32,0.55,746,1,VIIRS,n,2.0NRT,290.52,1.68,N
25.28695,-100.1534,315.54,0.64,0.54,746,1,VIIRS,n,2.0NRT,290.96,3.94,N
25.29149,-100.19977,311.85,0.32,0.55,746,1,VIIRS,n,2.0NRT,291.04,2.51,N
25.29305,-100.21567,309.34,0.32,0.55,746,1,VIIRS,n,2.0NRT,290.87,5.99,N
25.29364,-100.22167,308.9,0.32,0.55,746,1,VIIRS,n,2.0NRT,286.43,11.7,N
25.29174,-100.20234,337.26,0.32,0.55,746,1,VIIRS,n,2.0NRT,293.19,4.77,N
25.29325,-100.21768,356.19,0.32,0.55,746,1,VIIRS,n,2.0NRT,298.11,5.99,N
25.29683,-100.20241,317.73,0.32,0.55,746,1,VIIRS,n,2.0NRT,291.05,4.77,N
25.29838,-100.21819,314.42,0.32,0.55,746,1,VIIRS,n,2.0NRT,289.83,5.99,N
25.29249,-100.15821,326.78,0.32,0.54,746,1,VIIRS,n,2.0NRT,293.65,3.83,N
25.29274,-100.16081,346.0,0.32,0.54,746,1,VIIRS,n,2.0NRT,294.13,3.83,N
25.29707,-100.20483,341.77,0.32,0.55,746,1,VIIRS,n,2.0NRT,293.84,4.77,N
25.29753,-100.20947,336.9,0.32,0.55,746,1,VIIRS,n,2.0NRT,294.23,11.5,N
25.29797,-100.21396,320.91,0.32,0.55,746,1,VIIRS,n,2.0NRT,292.17,7.47,N
25.29818,-100.21608,346.26,0.32,0.55,746,1,VIIRS,n,2.0NRT,293.6,5.99,N
25.29795,-100.16225,304.57,0.32,0.54,746,1,VIIRS,n,2.0NRT,290.55,1.12,N
25.29831,-100.16582,316.14,0.32,0.54,746,1,VIIRS,n,2.0NRT,291.49,1.91,N
25.30235,-100.20686,300.15,0.32,0.55,746,1,VIIRS,n,2.0NRT,288.89,2.36,N
25.43726,-99.87292,308.8,0.61,0.54,746,1,VIIRS,n,2.0NRT,286.21,1.69,N
25.30287,-100.21214,344.61,0.32,0.55,746,1,VIIRS,n,2.0NRT,293.77,3.91,N
25.25078,-100.19865,310.38,0.32,0.55,746,1,VIIRS,n,2.0NRT,285.82,2.15,N
25.25122,-100.20327,307.87,0.32,0.55,746,1,VIIRS,n,2.0NRT,285.51,2.15,N
25.25528,-100.19259,305.44,0.32,0.55,746,1,VIIRS,n,2.0NRT,287.94,2.79,N
25.25607,-100.20086,307.24,0.32,0.55,746,1,VIIRS,n,2.0NRT,285.38,2.15,N
25.25551,-100.19505,337.05,0.32,0.55,746,1,VIIRS,n,2.0NRT,290.38,2.79,N
25.25577,-100.19772,344.61,0.32,0.55,746,1,VIIRS,n,2.0NRT,290.11,2.15,N
25.26042,-100.19341,317.95,0.32,0.55,746,1,VIIRS,n,2.0NRT,290.8,2.5,N
25.29167,-99.52279,336.74,0.45,0.63,1902,1,VIIRS,n,2.0NRT,303.44,2.28,D
25.32672,-99.65973,346.38,0.46,0.63,1902,1,VIIRS,n,2.0NRT,302.85,5.55,D
25.32568,-99.6641,344.54,0.46,0.63,1902,1,VIIRS,n,2.0NRT,303.17,5.55,D
25.25557,-100.19056,344.75,0.5,0.66,1902,1,VIIRS,n,2.0NRT,301.23,6.78,D
25.26186,-100.19036,330.92,0.5,0.66,1902,1,VIIRS,n,2.0NRT,298.99,6.78,D
25.25871,-100.19301,342.15,0.5,0.66,1902,1,VIIRS,n,2.0NRT,300.1,9.9,D
25.2816,-100.15051,347.41,0.49,0.65,1902,1,VIIRS,n,2.0NRT,301.4,11.86,D
25.28758,-100.1515,334.91,0.49,0.65,1902,1,VIIRS,n,2.0NRT,299.44,5.54,D
25.29223,-100.15804,331.56,0.49,0.65,1902,1,VIIRS,n,2.0NRT,300.9,5.54,D
25.28342,-100.21983,348.15,0.5,0.66,1902,1,VIIRS,n,2.0NRT,298.35,6.72,D
25.2824,-100.22401,343.97,0.5,0.66,1902,1,VIIRS,n,2.0NRT,299.94,6.72,D
25.29454,-100.19988,339.57,0.5,0.66,1902,1,VIIRS,n,2.0NRT,299.77,6.89,D
25.28976,-100.21945,335.29,0.5,0.66,1902,1,VIIRS,n,2.0NRT,299.28,6.72,D
25.28893,-100.22289,336.31,0.5,0.66,1902,1,VIIRS,n,2.0NRT,298.76,6.72,D
25.29887,-100.20775,338.09,0.5,0.66,1902,1,VIIRS,n,2.0NRT,301.43,18.96,D
25.29744,-100.21362,338.77,0.5,0.66,1902,1,VIIRS,n,2.0NRT,299.72,17.3,D
25.2962,-100.21871,344.14,0.5,0.66,1902,1,VIIRS,n,2.0NRT,301.78,11.0,D
25.30182,-100.22133,338.5,0.5,0.66,1902,1,VIIRS,n,2.0NRT,296.45,11.0,D
25.24808,-100.19572,333.64,0.59,0.7,2042,1,VIIRS,n,2.0NRT,301.73,5.81,D
25.25458,-100.19609,342.38,0.59,0.7,2042,1,VIIRS,n,2.0NRT,300.13,5.81,D
25.27312,-100.21112,331.95,0.59,0.7,2042,1,VIIRS,n,2.0NRT,298.49,7.33,D
25.2728,-100.21586,351.56,0.59,0.7,2042,1,VIIRS,n,2.0NRT,294.9,25.35,D
25.27255,-100.21959,351.4,0.59,0.7,2042,1,VIIRS,n,2.0NRT,304.8,25.35,D
25.29669,-100.15341,338.49,0.6,0.7,2042,1,VIIRS,n,2.0NRT,295.88,9.12,D
25.29599,-100.16351,330.54,0.6,0.7,2042,1,VIIRS,n,2.0NRT,295.16,9.35,D
25.27306,-100.22005,349.0,0.59,0.7,2042,1,VIIRS,n,2.0NRT,302.65,36.45,D
25.29665,-100.15529,337.58,0.6,0.7,2042,1,VIIRS,n,2.0NRT,296.33,5.0,D
25.29609,-100.16438,331.62,0.6,0.7,2042,1,VIIRS,n,2.0NRT,295.15,5.0,D
