latitude,longitude,confidence
-33.145031,-60.183338,n
-33.154827000000004,-60.164051,n
-33.155457,-60.159904,n
-33.154198,-60.16819399999999,n
-33.158783,-60.160614,n
-33.159412,-60.156467000000006,n
-33.160042,-60.15232099999999,n
-33.160671,-60.148174,n
-33.16193,-60.139885,n
-33.158154,-60.164761,n
-33.161304,-60.144032,n
-33.16256,-60.135746,n
-33.165257000000004,-60.140602,n
-33.165886,-60.136456,n
-33.166515000000004,-60.132309,n
-33.162109,-60.161331,n
-33.162739,-60.157185,n
-33.163368,-60.153038,n
-33.163998,-60.148888,n
-33.164627,-60.144749,n
-33.167141,-60.128162,n
-33.168583,-60.141312,n
-33.169212,-60.137173,n
-33.169842,-60.133026,n
-33.170466999999995,-60.12888,n
-33.171097,-60.124733,n
-33.1675,-60.171051,n
-33.168133000000005,-60.166904,n
-33.171909,-60.142029,n
-33.172539,-60.137882,n
-33.173168,-60.133736,n
-33.173794,-60.129589,n
-33.174427,-60.125446,n
-33.171455,-60.167622,n
-33.170826,-60.17176800000001,n
-33.178383000000004,-60.122009,n
-33.174152,-60.172485,n
-33.174782,-60.168339,n
-33.181709000000005,-60.122726,n
-33.178108,-60.169048,n
-33.179367,-60.160755,n
-33.185665,-60.119289,n
-33.180176,-60.178059,n
-33.181435,-60.16976500000001,n
-33.182693,-60.161469,n
-33.185562,-60.187778,n
-33.186192,-60.183632,n
-33.19376,-60.133873,n
-33.188885,-60.188496,n
-33.189518,-60.184349,n
-33.196804,-60.181637,n
-33.19743,-60.177483,n
-33.199493,-60.18649300000001,n
-33.200127,-60.182346,n
-33.201389,-60.174057,n
-33.204716,-60.174774,n
-33.216755,-60.185925,n
-33.217384,-60.181782,n
-33.221348,-60.17834499999999,n
