latitude,longitude,confidence
-32.92775,-60.31336,n
-32.92778,-60.31237,n
-32.95879,-60.29934,n
-32.94452,-60.37861,n
-32.96296,-60.30482,n
-32.9764,-60.31758,n
-33.13486,-60.03745,n
-33.16179,-60.01635,n
-33.16265,-60.01284,n
-33.16352,-60.00932,n
-33.20605,-60.1972,n
-33.13845,-60.04085,n
-33.16657,-60.01406,n
-33.17387,-60.00027,n
-33.17419,-60.00197,n
-33.167,-60.00222,n
-33.16719,-60.01053,n
-33.16019,-60.01908,n
-33.15261,-60.0027,n
-33.15281,-60.01101,n
-33.15299,-60.01932,n
-33.15337,-60.03598,n
-33.14579,-60.01956,n
-33.14616,-60.03621,n
-33.14853,-60.14531,n
-33.1386,-60.01981,n
-33.13158,-60.02838,n
-33.13176,-60.03668,n
-33.1084,-60.32644,n
-33.16505,-60.00935,n
-33.15809,-60.01786,n
-33.1509,-60.01807,n
-33.15113,-60.02638,n
-33.15412,-60.1352,n
-33.15435,-60.14363,n
-33.14393,-60.02658,n
-33.14416,-60.0349,n
-33.14711,-60.14386,n
-33.13696,-60.03512,n
-33.06388,-60.08429,n
-33.06272,-60.08523,n
-33.22305,-60.04131,n
-33.16152,-60.01569,n
-33.18549,-60.11765,n
-33.15396,-60.00511,n
-33.15539,-60.01115,n
-33.15681,-60.01719,n
-33.16603,-60.01077,n
-33.15855,-60.00015,n
-33.18468,-60.11461,n
-33.19012,-60.13848,n
-33.15385,-60.00167,n
-33.15524,-60.00774,n
-33.15662,-60.0138,n
-33.15801,-60.01986,n
-33.15053,-60.00926,n
-33.15192,-60.01532,n
-33.15331,-60.02137,n
-33.14722,-60.01683,n
-33.14861,-60.02289,n
-33.14999,-60.02893,n
-33.14391,-60.0244,n
-33.1453,-60.03045,n
-33.13781,-60.01986,n
-33.1331,-60.02137,n
-33.13449,-60.0274,n
-33.13589,-60.03346,n
-33.1298,-60.02894,n
-33.13537,-60.05311,n
-33.1251,-60.03045,n
-33.07102,-60.08017,n
-33.06774,-60.08767,n
-33.06162,-60.08314,n
-33.07074,-60.07621,n
-33.06741,-60.08372,n
-33.05802,-60.08675,n
-33.0594,-60.09276,n
-33.05903,-60.30954,n
-33.01281,-60.15279,n
-33.00812,-60.15428,n
-33.01509,-60.29201,n
-33.01043,-60.29348,n
-33.00988,-60.31251,n
-33.01397,-60.33006,n
-33.00524,-60.31398,n
-33.00797,-60.32569,n
-33.01337,-60.28787,n
-32.94845,-60.20047,n
-32.95118,-60.21239,n
-32.94514,-60.20792,n
-32.94651,-60.21389,n
-32.94787,-60.21983,n
-32.94046,-60.20941,n
-32.96086,-60.29825,n
-32.96221,-60.30413,n
-32.9535,-60.28794,n
-32.95964,-60.33642,n
-32.93293,-60.30709,n
-32.94242,-60.34815,n
-32.94376,-60.354,n
-32.94914,-60.37733,n
-32.92828,-60.30856,n
-32.94316,-60.37297,n
-32.92363,-60.31003,n
-32.93853,-60.37443,n
-32.9064,-60.41216,n
-32.92862,-60.51049,n
-32.92992,-60.51624,n
-32.90177,-60.41363,n
-32.89714,-60.4151,n
-32.88788,-60.41803,n
-32.87995,-60.42677,n
-32.87532,-60.42822,n
-32.87201,-60.43549,n
-32.84022,-60.42678,n
-32.83229,-60.43549,n
-32.8348,-60.43008,n
-32.56576,-60.63168,n
-32.51038,-60.74306,n
-32.50579,-60.74448,n
