Time,Outdoor Temperature(℃),Outdoor Feels Like(℃),Outdoor Dew Point(℃),Outdoor Humidity(%),Indoor Temperature(℃),Indoor Humidity(%),Solar(W/m2),UVI,Rainfall Rainfall Rain Rate(mm/hr),Rainfall Rainfall Daily(mm),Rainfall Rainfall Event(mm),Rainfall Rainfall Hourly(mm),Rainfall Rainfall Weekly(mm),Rainfall Rainfall Monthly(mm),Rainfall Rainfall Yearly(mm),Wind Speed(km/h),Wind Gust(km/h),Wind Direction(º),Pressure Relative(hPa),Pressure Absolute(hPa)
2021-07-31 00:00,9.7,9.7,1.4,56,16.7,79,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,2.8,5.5,78,1021.6,1022.5
2021-07-31 00:05,9.7,9.7,1.3,56,16.7,79,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,3.3,7.2,65,1021.7,1022.6
2021-07-31 00:10,9.6,9.6,1.2,56,16.7,79,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,3.1,5.5,68,1021.8,1022.7
2021-07-31 00:15,9.6,9.5,1.3,56,16.8,79,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,2.7,7.2,63,1021.6,1022.4
2021-07-31 00:20,9.5,9.5,1.1,56,16.8,79,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,3.2,5.5,47,1021.6,1022.5
2021-07-31 00:25,9.5,9.5,1.1,56,16.8,79,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,2.9,5.5,67,1021.6,1022.5
2021-07-31 00:30,9.4,9.4,1.1,56,16.8,79,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,3.2,5.5,63,1021.7,1022.6
2021-07-31 00:35,9.3,9.1,1.2,57,16.8,79,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,4.2,7.2,41,1021.7,1022.5
2021-07-31 00:40,9.3,9.1,1.2,57,16.8,79,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,4.6,7.2,58,1021.7,1022.6
2021-07-31 00:45,9.3,9.1,1.4,58,16.9,81,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,4.9,7.2,52,1021.7,1022.6
2021-07-31 00:50,9.1,8.9,1.7,60,17.0,82,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,5.1,7.2,37,1021.7,1022.6
2021-07-31 00:55,8.9,8.5,1.6,60,17.0,81,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,5.4,7.2,45,1021.6,1022.5
2021-07-31 01:00,8.7,8.3,1.4,60,17.0,79,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,5.2,9.3,60,1021.6,1022.5
2021-07-31 01:05,8.6,7.7,1.0,59,16.9,79,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,6.8,9.3,43,1021.6,1022.5
2021-07-31 01:10,8.4,8.4,1.0,60,16.9,79,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,4.2,5.5,51,1021.7,1022.6
2021-07-31 01:15,8.3,7.9,0.9,60,16.9,78,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,4.4,9.3,56,1021.6,1022.4
2021-07-31 01:20,8.3,8.3,1.1,60,16.8,79,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,3.1,5.5,52,1021.7,1022.6
2021-07-31 01:25,8.2,7.5,1.1,61,16.8,79,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,5.8,9.3,15,1021.7,1022.6
2021-07-31 01:30,8.2,8.2,1.2,61,16.8,79,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,2.1,5.5,69,1021.7,1022.6
2021-07-31 01:35,8.0,7.8,1.1,62,16.8,79,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,3.3,9.3,68,1021.8,1022.7
2021-07-31 01:40,8.0,7.8,1.1,62,16.8,80,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,3.8,7.2,64,1021.8,1022.7
2021-07-31 01:45,7.9,7.6,1.1,62,16.7,79,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,4.2,9.3,58,1021.8,1022.7
2021-07-31 01:50,7.8,7.6,1.0,62,16.6,79,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,3.9,7.2,42,1021.8,1022.7
2021-07-31 01:55,7.9,7.9,1.1,62,16.4,78,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,3.1,5.5,61,1021.9,1022.8
2021-07-31 02:00,8.0,8.0,1.2,62,16.1,78,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,3.2,5.5,44,1021.8,1022.7
2021-07-31 02:05,7.9,7.9,1.2,63,15.9,77,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,2.8,5.5,69,1021.7,1022.6
