latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-26.01041,-61.14263,318.3,0.55,0.68,2021-07-01,0418,1,VIIRS,n,2.0NRT,266.1,2.2,N
-38.32698,-69.05874,325.3,0.69,0.74,2021-07-01,0418,1,VIIRS,n,2.0NRT,269,2.9,N
-38.18529,-68.70098,308.7,0.67,0.73,2021-07-01,0418,1,VIIRS,n,2.0NRT,268.2,2,N
-27.06652,-61.10117,306,0.51,0.66,2021-07-01,0418,1,VIIRS,n,2.0NRT,275.9,1.2,N
-38.27272,-68.80275,312.6,0.67,0.74,2021-07-01,0418,1,VIIRS,n,2.0NRT,268.9,1.9,N
-26.01385,-61.14375,312.7,0.54,0.68,2021-07-01,0418,1,VIIRS,n,2.0NRT,266.1,2,N
-26.09834,-61.17667,299.1,0.55,0.68,2021-07-01,0418,1,VIIRS,n,2.0NRT,267,1.4,N
-38.27324,-68.80395,319.2,0.67,0.74,2021-07-01,0418,1,VIIRS,n,2.0NRT,269,2.2,N
-26.01178,-61.13721,299.5,0.54,0.68,2021-07-01,0418,1,VIIRS,n,2.0NRT,266.2,2.2,N
-29.19293,-60.9943,298,0.45,0.63,2021-07-01,0418,1,VIIRS,n,2.0NRT,267.8,1.6,N
-26.00631,-61.14721,297.8,0.55,0.68,2021-07-01,0418,1,VIIRS,n,2.0NRT,264.6,2,N
-25.99815,-61.13868,296.8,0.55,0.68,2021-07-01,0418,1,VIIRS,n,2.0NRT,265.3,1.1,N
-25.99952,-61.13326,309,0.54,0.68,2021-07-01,0418,1,VIIRS,n,2.0NRT,266.4,1.1,N
-27.20433,-61.47185,306.7,0.53,0.67,2021-07-01,0418,1,VIIRS,n,2.0NRT,276.9,1.1,N
-26.00772,-61.1418,317.5,0.54,0.68,2021-07-01,0418,1,VIIRS,n,2.0NRT,265.9,2,N
-27.21041,-61.47388,301.3,0.53,0.67,2021-07-01,0418,1,VIIRS,n,2.0NRT,275.4,1,N
-26.00428,-61.14065,321,0.55,0.68,2021-07-01,0418,1,VIIRS,n,2.0NRT,267.1,2.2,N
-38.33349,-68.96768,308.3,0.68,0.74,2021-07-01,0418,1,VIIRS,n,2.0NRT,266.7,2.1,N
-26.09971,-61.17122,311.9,0.54,0.68,2021-07-01,0418,1,VIIRS,n,2.0NRT,267.9,1.4,N
-26.00904,-61.14805,300.9,0.55,0.68,2021-07-01,0418,1,VIIRS,n,2.0NRT,264.7,4,N
